Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Total Reps,Total Sets,Total Routes,Climb Time,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
"Strength Training,2024-12-22 15:00:19,false,""Strength"",""0.00"",""86"",""00:29:02"",""80"",""106"",""0.1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""8"",""1"",""--"",""--"",""--"",""No"",""00:29:02"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:29:02"",""00:29:02"",""--"",""--"""
"Cross Country Skate Skiing,2024-12-22 11:10:25,false,""Jyvaskyla Cross Country Skate Skiing"",""8.12"",""541"",""00:56:37"",""133"",""174"",""3.1"",""--"",""--"",""8.6"",""39.8"",""145"",""143"",""--"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:00:58.6"",""6"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:48:15"",""00:56:37"",""128"",""181"""
"Padel,2024-12-20 20:21:37,false,""Padel"",""0.20"",""783"",""01:32:34"",""135"",""172"",""2.9"",""13"",""231"",""0.1"",""7.3"",""--"",""--"",""0.17"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:32:34"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:03:47"",""01:32:34"",""--"",""--"""
"Tennis,2024-12-18 19:48:39,false,""Tennis"",""0.25"",""382"",""01:07:47"",""106"",""164"",""1.7"",""17"",""250"",""0.2"",""10.0"",""--"",""--"",""0.22"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:07:47"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:05:09"",""01:07:47"",""--"",""--"""
"Padel,2024-12-17 17:37:59,false,""Padel"",""0.16"",""858"",""01:30:39"",""146"",""184"",""3.6"",""12"",""250"",""0.1"",""7.5"",""--"",""--"",""0.15"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:30:39"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:32"",""01:30:39"",""--"",""--"""
"Padel,2024-12-16 17:17:31,false,""Padel"",""0.14"",""494"",""00:42:09"",""151"",""179"",""3.1"",""18"",""231"",""0.2"",""7.2"",""--"",""--"",""0.19"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:42:09"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:09"",""00:42:09"",""--"",""--"""
"Padel,2024-12-14 15:11:28,false,""Padel"",""0.68"",""1,331"",""02:29:57"",""140"",""186"",""3.8"",""19"",""244"",""0.3"",""14.6"",""--"",""--"",""0.24"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""02:29:57"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:11:07"",""02:29:57"",""--"",""--"""
"Padel,2024-12-13 21:35:28,false,""Padel"",""0.16"",""584"",""01:19:23"",""128"",""171"",""2.5"",""14"",""250"",""0.1"",""7.5"",""--"",""--"",""0.14"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:19:23"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:03:55"",""01:19:23"",""--"",""--"""
"Padel,2024-12-13 18:11:38,false,""Padel"",""0.15"",""701"",""01:24:22"",""134"",""173"",""2.8"",""13"",""231"",""0.1"",""6.9"",""--"",""--"",""0.14"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:24:22"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:03:52"",""01:24:22"",""--"",""--"""
"Tennis,2024-12-12 18:12:23,false,""Tennis"",""0.41"",""421"",""01:16:10"",""107"",""170"",""1.3"",""21"",""231"",""0.3"",""14.2"",""--"",""--"",""0.26"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:16:10"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:07:09"",""01:19:21"",""--"",""--"""
"Tennis,2024-12-11 19:42:13,false,""Tennis"",""0.43"",""521"",""01:18:58"",""117"",""172"",""2.1"",""23"",""230"",""0.3"",""11.3"",""--"",""--"",""0.24"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:18:58"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:06:35"",""01:18:58"",""--"",""--"""
"Padel,2024-12-10 17:37:56,false,""Padel"",""0.17"",""739"",""01:21:50"",""134"",""176"",""3.1"",""13"",""250"",""0.1"",""16.6"",""--"",""--"",""0.16"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:21:50"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:32"",""01:21:50"",""--"",""--"""
"Padel,2024-12-08 15:44:49,false,""Padel"",""0.21"",""857"",""01:21:17"",""146"",""177"",""3.4"",""16"",""224"",""0.2"",""7.9"",""--"",""--"",""0.17"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:21:17"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:39"",""01:21:17"",""--"",""--"""
"Padel,2024-12-07 19:39:18,false,""Padel"",""0.23"",""572"",""01:27:40"",""120"",""159"",""2.1"",""15"",""230"",""0.2"",""8.9"",""--"",""--"",""0.18"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:27:40"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:03:27"",""01:27:40"",""--"",""--"""
"Padel,2024-12-06 17:56:37,false,""Padel"",""0.24"",""522"",""00:48:29"",""148"",""180"",""3.3"",""20"",""220"",""0.3"",""13.1"",""--"",""--"",""0.25"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:48:29"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:04:09"",""00:48:29"",""--"",""--"""
"Padel,2024-12-06 13:07:43,false,""Padel"",""0.20"",""777"",""01:00:19"",""161"",""188"",""4.0"",""19"",""214"",""0.2"",""10.2"",""--"",""--"",""0.18"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:00:19"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:04:38"",""01:00:19"",""--"",""--"""
"Tennis,2024-12-04 19:59:05,false,""Tennis"",""0.50"",""378"",""00:59:48"",""114"",""167"",""2.1"",""28"",""220"",""0.5"",""10.2"",""--"",""--"",""0.30"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:59:48"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:08:52"",""00:59:48"",""--"",""--"""
"Padel,2024-12-03 17:39:11,false,""Padel"",""0.09"",""743"",""01:21:05"",""135"",""181"",""3.1"",""14"",""226"",""0.1"",""7.3"",""--"",""--"",""0.08"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:21:05"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:01:45"",""01:21:05"",""--"",""--"""
"Padel,2024-12-01 17:34:34,false,""Padel"",""0.18"",""935"",""01:26:13"",""152"",""182"",""4.0"",""12"",""243"",""0.1"",""15.7"",""--"",""--"",""0.17"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:26:13"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:17"",""01:26:13"",""--"",""--"""
"Padel,2024-12-01 15:06:16,false,""Padel"",""0.29"",""747"",""01:31:04"",""133"",""174"",""3.0"",""16"",""250"",""0.2"",""9.4"",""--"",""--"",""0.20"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:31:04"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:04:06"",""01:31:04"",""--"",""--"""
"Other,2024-12-01 12:41:42,false,""Other"",""0.00"",""91"",""00:19:16"",""92"",""134"",""0.6"",""20"",""225"",""--"",""--"",""--"",""--"",""0.00"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:19:16"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:00:00"",""00:19:16"",""260"",""269"""
"Padel,2024-11-30 14:00:08,false,""Padel"",""0.65"",""1,759"",""03:19:16"",""144"",""180"",""4.5"",""18"",""240"",""0.2"",""14.6"",""--"",""--"",""0.18"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""03:19:16"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:10:32"",""03:19:16"",""--"",""--"""
